A,B,Tytuł,Opis,Linki
Andrzej Kawalec,Robert Nowaczyk,,Nowaczyk i Piecyk sprzedali Fenixowi kamienicę przy Poznańskiej 14.,
Andrzej Kawalec,Piotr Wocial,,"Prawnik Fenixa. Reprezentował spółkę w 2006 roku, gdy wybuchł skandal z Noakowskiego 16. Jego kancelaria mieści się pod tym adresem.",
Marek Kolarski,Zbigniew B.,,Żona Zbigniewa Hanna była wspólniczką Kolarskiego w Topiel Development KRS 0000370391.,
Jacek Kotas,Jerzy Kuprijaniuk,,"Na bazie firmy DK Investment Holding sp. z o.o. KRS 0000422752, należąca do Jerzego Kuprijaniuka, cypryjskiej spółki Ringwood Financial LTD oraz Dom Investment Holding sp. z o.o. (M. Domżała) powstała firma DK Investment Holding sp. z o.o. s.k-a. KRS 0000429764, która była właścicielem różnych spółek Grupy Radius, dla której pracował Jacek Kotas.

Firma Enerha sp. z o. KRS 0000377167, zajmująca się dystrybucją i handlem energią elektryczną, w której Kotas jest prokurentem, dostarcza energię do nieruchomości należących do spółek należących do Kuprijaniuka.",http://www.enerha.pl/o_firmie.html
Jacek Kotas,Robert Szustkowski,,"Współpracujący w biznesie - Jacek Kotas był prezesem zarządu w spółce Radius Projekt 1 SPV sp z o.o. KRS 0000488273, związanej z R. Szustkowskim i M. Domżałą. Razem zostali prokurentami w Enerha sp. z o.o. KRS 0000377167. Kotas był prezesem zarządu w spółkach, w których Szustkowski był prokurentem Rozbrat 44a sp. z o.o. KRS 0000437830, Nowy Świat 68 sp. z o.o. KRS 0000437340",
Jacek Kotas,Wojciech Kuranowski,,"Jacek Kotas był prezesem zarządu Era 200 sp. z o.o. 0000116365 , kiedy spółka funkcjonowała jeszcze jako Fabryka Mierników i Komputerów Era sp. z o.o., spółka Skarbu Państwa, którą nabyła grupa Radius. Kuranowski był w Radzie Nadzorczej spółki Era 200 sp. z o.o. ",
Marzena Kruk,Grzegorz Majewski,,Razem zreprywatyzowali działkę przy ul. Chmielnej 70,
Marzena Kruk,Robert Nowaczyk,,Marzena Kruk jest siostrą mec. Nowaczyka i jego wspólniczką w reprywatyzacyjnym interesie. Razem zreprywatyzowali działkę przy ul. Chmielnej 70.,
Marzena Kruk,Piotr Wocial,,Wocial był pełnomocnikiem Marzeny Kruk przy sprzedaży mieszkań na Odolańskiej 7,
Jerzy Kuprijaniuk,Jan L.,,Wspólnicy w spółce Łopuszańska DK Investment sp. z o.o. KRS 0000306934 (zlikwidowanej w 2016 r.),
Jerzy Kuprijaniuk,Piotr Wocial,,"Wocial jest likwidatorem spółki Jukon, której współwłaścicielem jest Kuprijaniuk. KRS 0000127235",
Wojciech Kuranowski,Robert Szustkowski,,"Kuranowski i Szustkowski robili wspólne interesy w spółce NLM sp. z o.o. KRS 0000311790. Kuranowski był w Radzie Nadzorczej spółki Era 200 sp. z o.o. KRS 0000116365 kontrolowanej przez Ringwood sp. z o.o., należącą do Roberta Szustkowskiego.","http://www.imsig.pl/pozycja/2008/172/KRS/148626,NLM_SP%C3%93%C5%81KA_Z_OGRANICZON%C4%84_ODPOWIEDZIALNO%C5%9ACI%C4%84_SP%C3%93%C5%81KA_KOMANDYTOWA"
Jacek Lisiewski,Piotr Wocial,,Lisiewski jest wspólnikiem Wociala. Występuje jako jego pełnomocnik w sprawach kamienicy na Asfaltowej i Odolańskiej. Wspólnicy w LW Inwest sp. z o.o. KRS 0000487567,
Jacek Lisiewski,Marek Mossakowski,,"Lisiewski jest wspólnikiem Czułego Barbarzyńcy, który mieścił się w lokalu należącym do Mossakowskiego. Tadeusz Brzozowski, który prowadził Czułego jest członkiem komisji rewizyjnej stowarzyszenia Poszkodowani (sic!), którego prezesem jest Mossakowski a wiceprezesem jego 85 letnia matka. ",
Jacek Lisiewski,Marzena Kruk,,Firma Lisiewskiego Tonestone sp. z o.o. KRS 0000519204 sprzedała udziały w nieruchomości przy ul. Odolańskiej 7 Marzenie Kruk.,
Grzegorz Majewski,Robert Nowaczyk,,Razem zreprywatyzowali działkę przy Pałacu Kultury i Nauki (dawna ul. Chmielna 70),
Maciej Marcinkowski,Andrzej Muszyński,,Mec. Muszyński współpracuje z Marcinkowskim prowadząc wiele jego spraw reprywatyzacyjnych.,
Maciej Marcinkowski,Robert Nowaczyk,,"Mec. Nowaczyk sprzedał Marcinkowskiemu roszczenia reprywatyzacyjne, m. in. do Ogrodu Jordanowskiego przy ul. Szarej.",
Maciej Marcinkowski,Jakub Rudnicki,,"Rudnicki wydawał Marcinkowskiemu decyzje reprywatyzacyjne, m. in. w sprawie ogrodu jordanowskiego przy ul. Szarej/Rozbrat. Kancelaria Rudnickiego po odejściu z urzędu oraz biuro spółek Marcinkowskiego mieściły się drzwi w drzwi przy Al. Szucha 16.",
Andrzej Muszyński,Robert Nowaczyk,,Wspólnik Nowaczyka Piecyk występuję w KRS spółki Nowe Dzielnice KRS 0000373494 zreaktywowanej przez Muszyńskiego. ,http://pzd.pl/uploads/5/Wyja%C5%9Bnienia%20Prokuratury.pdf
Robert Nowaczyk,Jakub Rudnicki,,"""Niezamierzeni współwłaściciele"""" zreprywatyzowanej przez Nowaczyka willi Salamandra w Zakopanem/Kościelisku, należącej niegdyś do przewojennego generała T. Kasprzyka.","http://wyborcza.pl/magazyn/1,124059,20572140,uklad-warszawski-czy-reprywatyzacja-w-stolicy-zatrzesie-polska.html"
Robert Nowaczyk,Jan Stachura,,"Mec. Stachura, mec. Nowaczyk i mec. Piecyk prowadzili kiedyś wspólnie kancelarię zajmującą się zwrotami reprywatyzacyjnymi.",
Robert Nowaczyk,Piotr Wocial,,Wspólnicy. Razem posiadają kamienicę na ul. Wilanowskiej 22.,
Jakub Rudnicki,Wojciech Rudnicki,,Wojciech Rudnicki to ojciec Jakuba Rudnickiego,
Jan Stachura,Piotr Wocial,,Wocial kupił od Stachury kamienicę na Asfaltowej 2. Ceny transakcyjne były kilka razy niższe niż te rynkowe. 90-metrowe mieszkanie na Górnym Mokotowie Stachura sprzedał za jedyne 310 tysięcy złotych.,
Jacek Powsiński,Jan Stachura,,"Administrator i ""czyściciel"" w reprywatyzowanych przez Stachurę kamienicach. ",http://cia.media.pl/zolnierz_mafii_odzyskiwaczy_opowiada_jak_czysci_kamienice_z_lokatorow
Jacek Powsiński,Jakub Rudnicki,,Rudnicki zatrudnił Powsińskiego jako administratora budynku przy Kazimierzowskiej.,"http://warszawa.wyborcza.pl/warszawa/1,34889,15327294,Jak_byly_dyrektor_w_ratuszu_zostal_wlascicielem_kamienicy.html 
http://politykawarszawska.pl/a/420"
Alina Dłużewska,Wojciech Rudnicki,,Alina i Wojciech są rodzicami Jakuba Rudnickiego. ,goo.gl/Jt0eYK
Jacek Powsiński,Jan Stachura,,"Jan Stachura zatrudnia Powsińskiego do ""administrowania"" kamienic m.in. przy Stanisława Augusta 8",
Marzena Kruk,Mirosław Bieniek,,Marzena Kruk zreprywatyzowała Mokotowską 63 by następnią ją odsprzedać kontrolowanej przez Bieńka firmie Plater. ,
Piotr Siciński,Tomasz Górniak,,"Piotr Siciński był notariuszem reaktywującym lub obsługującym kilka przedwojennych spółek, w których występują w/w, m.in.: Motor, Zakłady Amunicyjne „Pocisk”, Siła i Światło, Fabrykę Guzików, Fabrykę Wyrobów Blaszanych ""Tłocznia"", Fabrykę Maszyn i Kotlarnię ""Moc"", Spółka Akcyjna Fabryk Chemicznych i Huty Szklanej ""Kijewski Scholtze i s-ka""",
Piotr Siciński,Robert Nowaczyk,,"Piotr Siciński był notariuszem reaktywującym lub obsługującym kilka przedwojennych spółek, w których występują w/w, m.in.: Motor, Zakłady Amunicyjne „Pocisk”, Siła i Światło, Fabrykę Guzików, Fabrykę Wyrobów Blaszanych ""Tłocznia"", Fabrykę Maszyn i Kotlarnię ""Moc"", Spółka Akcyjna Fabryk Chemicznych i Huty Szklanej ""Kijewski Scholtze i s-ka""",
Piotr Siciński,Marzena Kruk,,"Piotr Siciński dokonał poświadczeń umowy sprzedaży lokalu przy Alei Szucha 13/15. Lokal został kupiony przez Marzenę Kruk od firmy, której udziałowcem był Robert Nowaczyk. Siciński poświdczał umowę sprzedaży przez m.st. Warszawę Marzenie Kruk udziałów w kamienicy przy Odolańskiej 7 ",
